Black Body Radiation Experiment Fri, Nov 29, 2024 1:11 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.04302
0.00000	-0.03996
0.00000	-0.04335
0.00000	-0.04640
0.00000	-0.04737
0.00000	-0.04238
0.00000	-0.03948
0.00000	-0.04238
-0.05076	-0.04238
-0.09137	-0.04431
-0.09137	-0.04415
-0.09137	-0.04560
-0.10152	-0.04093
-0.10152	-0.04077
-0.10152	-0.04093
-0.10152	-0.04399
-0.10152	-0.04576
-0.10152	-0.04689
-0.10152	-0.04222
-0.10152	-0.03980
-0.10152	-0.04608
-0.10152	-0.04415
-0.10152	-0.04061
-0.10152	-0.04367
-0.10152	-0.04109
-0.10152	-0.04512
-0.11168	-0.04190
-0.11168	-0.03900
-0.11168	-0.03498
-0.11168	-0.04351
-0.11168	-0.03787
-0.11168	-0.03948
-0.11168	-0.03739
-0.11168	-0.03996
-0.11168	-0.03964
-0.11168	-0.04399
-0.11168	-0.04141
-0.10152	-0.04238
-0.10152	-0.04431
-0.10152	-0.04479
-0.10152	-0.04335
-0.10152	-0.04560
-0.10152	-0.04495
-0.10152	-0.04286
-0.10152	-0.04109
-0.10152	-0.04528
-0.10152	-0.04206
-0.10152	-0.04109
-0.10152	-0.04254
-0.10152	-0.03787
-0.10152	-0.03900
-0.10152	-0.04431
-0.09137	-0.04302
-0.08122	-0.04238
-0.04061	-0.04093
0.03046	-0.04495
0.17259	-0.04109
0.34518	-0.04254
0.42640	-0.03868
0.64975	-0.04029
0.81218	-0.04415
0.88325	-0.03594
1.03553	-0.04061
1.08629	-0.03868
1.11675	-0.04077
1.20812	-0.04254
1.29949	-0.04431
1.34010	-0.03675
1.51269	-0.04190
1.63452	-0.03691
1.69543	-0.04608
1.89848	-0.04206
2.08122	-0.03417
2.18274	-0.03755
2.49746	-0.03707
2.63959	-0.04576
2.71066	-0.03884
2.90355	-0.04045
2.99492	-0.04479
3.01523	-0.04029
3.03553	-0.03964
3.03553	-0.03980
3.03553	-0.03707
3.07614	-0.04270
3.14721	-0.03691
3.24873	-0.04431
3.30964	-0.03771
3.53299	-0.04029
3.66497	-0.03739
3.74619	-0.03803
3.97970	-0.03578
4.15228	-0.04141
4.24365	-0.03916
4.35533	-0.04045
4.43655	-0.03852
4.45685	-0.04157
4.55838	-0.03755
4.61929	-0.03546
4.63959	-0.03884
4.73096	-0.03675
4.81218	-0.04109
4.85279	-0.04045
4.98477	-0.03996
5.09645	-0.04141
5.14721	-0.03980
5.39086	-0.04141
5.61421	-0.03642
5.72589	-0.03916
6.11168	-0.03884
6.38579	-0.03755
6.51777	-0.03562
6.88325	-0.04206
7.13706	-0.03385
7.24873	-0.03610
7.60406	-0.03964
7.76650	-0.03964
7.82741	-0.03771
8.08122	-0.03626
8.21320	-0.03996
8.28426	-0.03675
8.51777	-0.03465
8.73096	-0.03900
8.86294	-0.03337
9.26904	-0.03658
9.51269	-0.03996
9.72589	-0.04157
9.95939	-0.03337
10.07107	-0.04093
10.13198	-0.03433
10.28426	-0.03642
10.43655	-0.03964
10.51777	-0.03675
10.77157	-0.03948
11.00508	-0.03691
11.09645	-0.03755
