Black Body Radiation Experiment Fri, Nov 29, 2024 1:11 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01840
0.00000	-0.02113
0.00000	-0.02178
0.00000	-0.01872
0.00000	-0.01872
0.00000	-0.01936
0.00000	-0.02145
0.00000	-0.02017
0.00000	-0.01663
0.00000	-0.02500
0.00000	-0.02564
0.00000	-0.02741
0.00000	-0.02145
0.00000	-0.01679
0.00000	-0.02081
0.00000	-0.01807
0.00000	-0.01936
0.00000	-0.02097
0.00000	-0.02065
0.00000	-0.02049
0.00000	-0.01872
0.00000	-0.01663
0.00000	-0.01856
0.00000	-0.02178
0.00000	-0.01775
0.00000	-0.02226
0.00000	-0.01486
0.00000	-0.01952
0.00000	-0.02081
0.00000	-0.01952
0.00000	-0.02226
0.00000	-0.01920
0.00000	-0.01840
0.00000	-0.02129
0.00000	-0.01952
0.00000	-0.02145
0.00000	-0.01936
0.00000	-0.02226
0.00000	-0.01663
0.00000	-0.02129
0.00000	-0.01872
0.00000	-0.01872
0.00000	-0.01775
0.00000	-0.02097
0.00000	-0.02049
0.00000	-0.02290
0.00000	-0.01824
0.00000	-0.02258
0.00000	-0.01840
0.00000	-0.02145
0.00000	-0.01727
0.00000	-0.01775
0.00000	-0.01598
0.00000	-0.02049
0.00000	-0.01647
0.00000	-0.02113
0.00000	-0.01840
0.00000	-0.01952
0.00000	-0.02113
0.00000	-0.02145
0.00000	-0.02290
0.00000	-0.01679
0.00000	-0.02194
0.00000	-0.01663
0.00000	-0.01904
0.00000	-0.01856
0.00000	-0.02081
0.00000	-0.01985
0.00000	-0.01582
0.00000	-0.01807
0.00000	-0.02210
0.00000	-0.01630
0.00000	-0.02049
0.00000	-0.01824
0.00000	-0.01534
0.00000	-0.02001
0.00000	-0.01727
0.00000	-0.01824
0.00000	-0.01968
0.00000	-0.01647
0.00000	-0.01936
0.00000	-0.01566
0.00000	-0.01936
0.00000	-0.02210
0.00000	-0.01775
0.00000	-0.01663
0.00000	-0.01888
0.00000	-0.01888
0.00000	-0.01952
0.00000	-0.02612
0.00000	-0.02483
0.00000	-0.01759
0.00000	-0.01791
0.00000	-0.01856
0.00000	-0.01663
0.00000	-0.01614
-0.01015	-0.01952
-0.01015	-0.01824
-0.02030	-0.01759
-0.02030	-0.01936
-0.02030	-0.01856
-0.01015	-0.02001
-0.01015	-0.02709
-0.01015	-0.02033
-0.01015	-0.02194
