Black Body Radiation Experiment Fri, Nov 29, 2024 1:12 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03143
0.00000	-0.03160
0.00000	-0.03063
0.00000	-0.02886
0.00000	-0.02725
0.00000	-0.03288
0.00000	-0.02886
0.00000	-0.03320
0.00000	-0.03095
0.00000	-0.02741
0.00000	-0.03079
0.00000	-0.03143
0.00000	-0.03031
0.00000	-0.03385
0.00000	-0.03256
0.00000	-0.02999
0.00000	-0.03481
0.00000	-0.02725
0.00000	-0.03063
0.00000	-0.03192
0.00000	-0.02982
0.00000	-0.03481
0.00000	-0.03562
0.00000	-0.02999
0.00000	-0.03208
0.00000	-0.03224
0.00000	-0.02612
0.00000	-0.02838
0.00000	-0.03063
0.00000	-0.03675
0.00000	-0.03288
0.00000	-0.03256
0.00000	-0.02999
0.00000	-0.03127
0.00000	-0.03095
0.00000	-0.02805
0.00000	-0.03337
0.00000	-0.03385
0.00000	-0.03288
0.00000	-0.03337
0.00000	-0.02950
0.00000	-0.03127
0.00000	-0.03240
0.00000	-0.02789
0.00000	-0.03079
0.00000	-0.02999
0.00000	-0.02870
0.00000	-0.03095
0.00000	-0.03433
0.00000	-0.03143
0.00000	-0.03208
0.00000	-0.03079
0.00000	-0.03079
0.00000	-0.03127
0.00000	-0.03562
0.00000	-0.02838
0.00000	-0.02934
0.01015	-0.02757
0.04061	-0.02725
0.10152	-0.03031
0.14213	-0.02902
0.32487	-0.03111
0.46701	-0.02918
0.54822	-0.03465
0.73096	-0.02966
0.84264	-0.03079
0.92386	-0.03224
1.11675	-0.03176
1.23858	-0.03192
1.30964	-0.03337
1.47208	-0.02773
1.56345	-0.02854
1.62437	-0.03385
1.79695	-0.02773
1.89848	-0.03063
1.96954	-0.02902
2.18274	-0.03111
2.31472	-0.03176
2.41624	-0.02934
2.57868	-0.03691
2.65990	-0.02999
2.71066	-0.02741
2.87310	-0.02677
2.95431	-0.02741
2.99492	-0.03369
3.11675	-0.03047
3.21827	-0.02805
3.28934	-0.02677
3.49239	-0.03240
3.59391	-0.02467
3.63452	-0.02934
3.78680	-0.03031
3.87817	-0.02982
3.93909	-0.03176
4.12183	-0.03063
4.24365	-0.03337
4.32487	-0.02982
4.45685	-0.03111
4.56853	-0.03578
