Black Body Radiation Experiment Fri, Nov 29, 2024 1:17 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02306
0.00000	-0.02709
0.00000	-0.02274
0.00000	-0.02403
0.00000	-0.02226
0.00000	-0.02403
0.00000	-0.02355
0.00000	-0.02081
0.00000	-0.02081
0.00000	-0.02371
0.00000	-0.02757
0.00000	-0.02773
0.00000	-0.02371
0.00000	-0.02065
0.00000	-0.02129
0.00000	-0.02516
0.00000	-0.02403
0.00000	-0.02886
-0.01015	-0.02564
-0.01015	-0.02242
-0.01015	-0.02355
-0.01015	-0.02065
-0.01015	-0.02451
-0.01015	-0.01968
-0.01015	-0.02129
-0.01015	-0.02387
-0.01015	-0.02548
-0.01015	-0.02467
-0.01015	-0.01888
-0.01015	-0.02242
-0.01015	-0.02097
-0.01015	-0.02532
-0.01015	-0.02435
-0.01015	-0.02403
-0.01015	-0.02097
-0.01015	-0.01824
-0.01015	-0.02081
-0.01015	-0.02081
-0.02030	-0.02274
-0.02030	-0.02516
-0.02030	-0.02323
-0.02030	-0.01952
-0.02030	-0.02242
-0.02030	-0.02210
-0.02030	-0.02097
-0.02030	-0.02129
-0.02030	-0.02001
-0.02030	-0.02194
-0.02030	-0.01872
-0.02030	-0.01791
-0.02030	-0.01824
-0.02030	-0.01743
-0.02030	-0.02081
-0.01015	-0.02210
-0.01015	-0.01920
-0.01015	-0.02290
-0.01015	-0.02097
-0.01015	-0.01807
-0.01015	-0.01952
-0.01015	-0.01904
-0.01015	-0.01840
-0.01015	-0.01824
-0.01015	-0.02081
-0.01015	-0.02049
-0.01015	-0.01614
-0.01015	-0.02049
-0.01015	-0.01711
-0.01015	-0.02419
-0.01015	-0.01872
0.01015	-0.01872
0.05076	-0.02033
0.11168	-0.02306
0.16244	-0.02371
0.36548	-0.01952
0.50761	-0.02306
0.58883	-0.02290
0.73096	-0.01663
0.80203	-0.02097
0.84264	-0.01888
0.89340	-0.02129
0.89340	-0.01598
0.89340	-0.01647
0.95431	-0.02258
1.06599	-0.01904
1.18782	-0.01985
1.22843	-0.01952
1.30964	-0.02129
1.35025	-0.01711
1.36041	-0.02290
1.42132	-0.01872
1.48223	-0.02210
1.51269	-0.02001
1.64467	-0.01872
1.72589	-0.02242
1.78680	-0.02017
1.96954	-0.02210
2.12183	-0.01727
2.20305	-0.01824
2.35533	-0.02500
2.49746	-0.01936
2.54822	-0.01727
2.72081	-0.01904
2.81218	-0.01695
2.86294	-0.02081
2.98477	-0.01985
3.10660	-0.01630
3.16751	-0.02017
3.37056	-0.02290
3.52284	-0.02049
3.60406	-0.01904
3.89848	-0.01759
4.13198	-0.02258
4.22335	-0.02178
4.45685	-0.01453
4.60914	-0.02001
4.70051	-0.02097
5.04569	-0.01679
5.21827	-0.01840
5.27919	-0.01840
5.53299	-0.02065
5.67513	-0.02017
5.98985	-0.01759
6.21320	-0.02274
6.31472	-0.02145
6.64975	-0.02371
6.89340	-0.01582
7.00508	-0.01888
7.34010	-0.01904
7.57360	-0.02129
7.67513	-0.02033
7.96954	-0.01647
8.20305	-0.01888
8.35533	-0.02081
8.84264	-0.01985
9.09645	-0.01421
9.35025	-0.01824
9.52284	-0.01920
9.84772	-0.01469
10.04061	-0.01630
10.36548	-0.01550
10.50761	-0.01260
10.81218	-0.01196
11.01523	-0.01228
11.34010	-0.01453
11.51269	-0.01759
11.59391	-0.01502
11.84772	-0.01486
12.04061	-0.01051
12.35533	-0.01437
12.58883	-0.00842
12.79188	-0.00632
13.11675	-0.00681
13.24873	-0.00665
13.38071	-0.00858
13.56345	-0.00262
13.69543	-0.00745
14.01015	0.00156
14.17259	0.00060
14.21320	0.00221
14.45685	0.00768
14.52792	0.00526
14.59898	0.00816
14.84264	0.01186
14.95431	0.01573
15.19797	0.01991
15.36041	0.02265
15.68528	0.03665
15.87817	0.04325
16.26396	0.05468
16.44670	0.06514
16.85279	0.09202
17.07614	0.11005
17.50254	0.15528
17.75635	0.19342
17.96954	0.23383
18.36548	0.34151
18.57868	0.42376
18.79188	0.50762
19.19797	0.81553
19.31980	0.96586
19.41117	1.12537
19.59391	1.42814
19.70558	1.60390
19.78680	1.78241
19.93909	2.18143
20.01015	2.33112
20.09137	2.49192
20.27411	2.82430
20.39594	3.04321
20.67005	3.53657
20.87310	3.81310
21.11675	4.13906
21.68528	4.74301
21.97970	4.90704
22.21320	4.90849
22.60914	4.61005
22.82234	4.32803
22.93401	4.18509
23.20812	3.65874
23.43147	3.27613
23.51269	3.06382
23.85787	2.49997
24.08122	2.12429
24.19289	1.94997
24.53807	1.48061
24.75127	1.19265
24.86294	1.08336
25.22843	0.81151
25.49239	0.63976
25.85787	0.42955
26.06091	0.34634
26.34518	0.24139
26.53807	0.18634
26.86294	0.13226
27.06599	0.11037
27.16751	0.09637
27.45178	0.07399
27.65482	0.06015
27.75635	0.04953
28.09137	0.03408
28.30457	0.02538
28.40609	0.02297
28.75127	0.01911
28.95431	0.01540
29.04569	0.01380
29.30964	0.00365
29.49239	0.00703
29.58376	0.00269
29.83756	0.00768
30.04061	-0.00053
30.12183	0.00237
30.44670	0.00092
30.61929	-0.00182
30.72081	-0.00407
30.96447	-0.00552
31.12690	-0.00632
31.20812	-0.00793
31.44162	-0.00520
31.58376	-0.00987
31.66497	-0.00230
31.86802	-0.00294
32.02030	-0.00793
32.27411	-0.01083
32.43655	-0.00938
32.65990	-0.00954
32.84264	-0.00922
33.11675	-0.01292
33.35025	-0.01260
33.70558	-0.00713
33.94924	-0.00777
34.32487	-0.00922
34.57868	-0.00826
34.97462	-0.01003
35.22843	-0.00777
35.56345	-0.00922
35.75635	-0.01115
35.86802	-0.01051
36.11168	-0.01003
36.29442	-0.00954
36.38579	-0.01373
36.65990	-0.01212
36.84264	-0.00874
36.94416	-0.01486
37.27919	-0.01244
37.53299	-0.01598
37.72589	-0.01292
38.18274	-0.01308
38.52792	-0.02081
38.71066	-0.01389
39.17766	-0.01469
39.39086	-0.01164
39.51269	-0.01759
39.79695	-0.01341
40.02030	-0.01437
40.11168	-0.01180
40.35533	-0.01373
40.51777	-0.01357
40.58883	-0.01131
40.78173	-0.01421
40.94416	-0.01180
41.02538	-0.01711
41.22843	-0.01228
41.36041	-0.01663
41.42132	-0.01437
41.64467	-0.01099
