Black Body Radiation Experiment Mon, Nov 25, 2024 4:25 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01518
0.00000	-0.01260
0.00000	-0.01083
0.00000	-0.01244
0.00000	-0.01115
0.00000	-0.01051
0.00000	-0.00858
0.00000	-0.01453
0.00000	-0.01405
0.00000	-0.01083
0.00000	-0.01035
0.00000	-0.00987
0.00000	-0.01453
0.00000	-0.01598
0.00000	-0.01308
0.01015	-0.01083
0.01015	-0.00826
0.02030	-0.00906
0.02030	-0.01260
0.05076	-0.00970
0.06091	-0.01534
0.07107	-0.01180
0.08122	-0.01260
0.13198	-0.01244
0.20305	-0.01502
0.26396	-0.00954
0.47716	-0.01083
0.69036	-0.01035
0.79188	-0.01067
1.17766	-0.01405
1.38071	-0.01325
1.48223	-0.01373
1.64467	-0.01212
1.70558	-0.01148
1.71574	-0.01405
1.71574	-0.01083
1.71574	-0.01212
1.71574	-0.00826
1.73604	-0.01131
1.77665	-0.01115
1.89848	-0.01341
2.01015	-0.01164
2.07107	-0.01212
2.19289	-0.01389
2.27411	-0.01421
2.31472	-0.01244
2.43655	-0.01518
2.51777	-0.01228
2.55838	-0.01228
2.65990	-0.01244
2.71066	-0.01083
2.74112	-0.01228
2.87310	-0.00777
2.97462	-0.01196
3.02538	-0.01244
3.31980	-0.01469
3.49239	-0.01228
3.57360	-0.01067
3.83756	-0.01260
4.03046	-0.01212
4.11168	-0.01051
4.23350	-0.01148
4.28426	-0.01180
4.29442	-0.01196
4.29442	-0.01566
4.29442	-0.00906
4.29442	-0.00922
4.29442	-0.01067
4.30457	-0.01148
4.30457	-0.01196
4.30457	-0.00842
4.30457	-0.01035
4.30457	-0.01148
4.29442	-0.01437
4.29442	-0.01083
4.30457	-0.01115
4.30457	-0.01051
4.30457	-0.01051
4.30457	-0.01582
4.30457	-0.01051
4.30457	-0.01357
4.30457	-0.00954
4.30457	-0.01292
4.30457	-0.01244
4.30457	-0.01115
4.29442	-0.01582
4.29442	-0.01180
4.30457	-0.00987
4.31472	-0.00938
4.31472	-0.01453
4.30457	-0.01244
4.30457	-0.01276
