Black Body Radiation Experiment Mon, Nov 25, 2024 4:33 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01067
0.00000	-0.01019
0.00000	-0.00874
0.00000	-0.01035
0.00000	-0.00922
0.00000	-0.00858
0.00000	-0.01083
0.01015	-0.01341
0.01015	-0.00810
0.01015	-0.00826
0.01015	-0.01115
0.01015	-0.01341
0.01015	-0.01405
0.01015	-0.01437
0.01015	-0.00858
0.01015	-0.00938
0.01015	-0.01212
0.01015	-0.01180
0.01015	-0.00970
0.01015	-0.01164
0.01015	-0.01582
0.01015	-0.01389
0.01015	-0.01003
0.01015	-0.01115
0.01015	-0.00922
0.01015	-0.01083
0.02030	-0.01228
0.02030	-0.01035
0.02030	-0.01292
0.02030	-0.01212
0.02030	-0.01115
0.03046	-0.01003
0.03046	-0.00874
0.03046	-0.01437
0.03046	-0.01099
0.03046	-0.01373
0.06091	-0.01453
0.09137	-0.00858
0.12183	-0.00713
0.13198	-0.00842
0.38579	-0.00681
0.71066	-0.01148
0.88325	-0.01051
1.98985	-0.00681
2.73096	-0.00793
3.11675	-0.00954
4.00000	-0.01437
4.62944	-0.01067
4.88325	-0.01357
5.57360	-0.00970
5.98985	-0.01051
6.13198	-0.01341
6.60914	-0.00970
6.89340	-0.01341
6.99492	-0.01148
7.22843	-0.01083
7.40102	-0.00987
7.48223	-0.00777
7.71574	-0.01099
7.87817	-0.00649
7.95939	-0.00729
8.27411	-0.00858
8.40609	-0.01212
8.46701	-0.00938
8.67005	-0.01276
8.80203	-0.00987
8.86294	-0.00938
9.05584	-0.01099
9.20812	-0.01325
9.27919	-0.01148
9.50254	-0.01035
9.66497	-0.01196
9.73604	-0.00922
9.96954	-0.01099
10.10152	-0.01244
10.16244	-0.01019
10.32487	-0.01244
10.43655	-0.01228
10.47716	-0.01115
10.62944	-0.01212
10.74112	-0.01148
10.79188	-0.01115
10.92386	-0.00954
11.02538	-0.01373
11.05584	-0.00777
11.14721	-0.01164
11.25888	-0.01469
11.29949	-0.00665
11.46193	-0.00874
11.60406	-0.01260
11.65482	-0.01083
11.88832	-0.00970
12.06091	-0.01131
12.15228	-0.01099
12.41624	-0.01035
12.61929	-0.01115
12.69036	-0.00938
12.97462	-0.00890
13.16751	-0.01051
13.22843	-0.01212
13.46193	-0.01051
13.62437	-0.01244
13.68528	-0.01244
13.90863	-0.01115
14.02030	-0.01276
14.08122	-0.01003
14.31472	-0.00938
14.47716	-0.01131
14.55838	-0.00697
14.78173	-0.00697
14.94416	-0.01405
14.99492	-0.01164
15.18782	-0.01212
15.28934	-0.01003
15.34010	-0.01325
15.47208	-0.01003
15.53299	-0.01035
15.57360	-0.00793
15.70558	-0.00987
15.79695	-0.00890
15.83756	-0.00858
15.96954	-0.01083
16.06091	-0.00842
16.10152	-0.00938
16.23350	-0.01083
16.32487	-0.00665
16.35533	-0.00745
16.45685	-0.01067
16.51777	-0.00954
16.53807	-0.00874
16.59898	-0.00616
16.64975	-0.00874
16.67005	-0.00793
16.79188	-0.01180
16.86294	-0.01115
16.89340	-0.00970
16.97462	-0.00874
17.01523	-0.01341
17.15736	-0.00745
17.30964	-0.00938
17.39086	-0.01260
17.61421	-0.00890
17.79695	-0.00697
17.88832	-0.00729
18.18274	-0.00745
18.39594	-0.00343
18.49746	-0.00890
18.83249	-0.00439
19.01523	-0.00166
19.11675	-0.00246
19.49239	0.00446
19.69543	0.01170
19.79695	0.01235
20.17259	0.02361
20.33503	0.03182
20.49746	0.04406
20.78173	0.06273
20.92386	0.07979
21.06599	0.09862
21.32995	0.14015
21.44162	0.15914
21.54315	0.18457
21.74619	0.22610
21.83756	0.24751
21.92893	0.27020
22.07107	0.29934
22.13198	0.31286
22.18274	0.32042
22.30457	0.34135
22.36548	0.34650
22.42640	0.35100
22.50761	0.35889
22.55838	0.35631
22.58883	0.36227
