Black Body Radiation Experiment Mon, Nov 25, 2024 4:28 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01357
0.00000	-0.01341
0.00000	-0.00938
0.00000	-0.01244
0.00000	-0.01019
0.00000	-0.01389
0.00000	-0.01115
0.00000	-0.01469
0.00000	-0.01373
0.00000	-0.01453
0.00000	-0.01518
0.00000	-0.00987
0.00000	-0.00970
0.00000	-0.01341
0.00000	-0.01502
0.00000	-0.00874
0.00000	-0.01212
0.00000	-0.01502
0.00000	-0.01437
0.00000	-0.01534
0.00000	-0.01325
0.00000	-0.01035
0.00000	-0.01196
0.01015	-0.01164
0.01015	-0.00906
0.01015	-0.01244
0.01015	-0.01389
0.01015	-0.01389
0.02030	-0.01260
0.02030	-0.01115
0.02030	-0.01341
0.02030	-0.01486
0.02030	-0.01405
0.02030	-0.01437
0.02030	-0.01292
0.03046	-0.01518
0.04061	-0.01099
0.07107	-0.01244
0.09137	-0.01630
0.12183	-0.01518
0.15228	-0.00874
0.32487	-0.01534
1.14721	-0.01228
1.85787	-0.01405
2.26396	-0.01325
3.13706	-0.01035
3.25888	-0.01373
3.26904	-0.01357
3.24873	-0.01196
3.24873	-0.01453
3.24873	-0.01244
3.25888	-0.01502
3.27919	-0.01663
3.37056	-0.01035
3.53299	-0.01148
3.72589	-0.01405
4.09137	-0.01276
4.22335	-0.01228
4.33503	-0.01099
4.64975	-0.01550
4.83249	-0.01292
4.88325	-0.01389
5.04569	-0.00938
5.22843	-0.01405
5.30964	-0.01308
5.65482	-0.00987
5.94924	-0.01357
6.13198	-0.01614
6.83249	-0.01469
7.40102	-0.01244
7.67513	-0.01148
8.64975	-0.00954
9.43147	-0.01067
9.79695	-0.01196
10.75127	-0.01325
11.29949	-0.01405
11.61421	-0.01437
12.20305	-0.01099
12.67005	-0.00890
12.86294	-0.01244
13.50254	-0.01663
13.92893	-0.01357
14.09137	-0.00858
14.69036	-0.01131
15.05584	-0.01663
15.38071	-0.01437
15.82741	-0.01260
16.13198	-0.01276
16.28426	-0.01051
16.80203	-0.01148
17.10660	-0.00665
17.26904	-0.00810
17.73604	-0.01196
17.96954	-0.01003
18.10152	-0.01083
18.49746	-0.00681
18.73096	-0.00649
18.87310	-0.00375
19.37056	0.00349
19.59391	0.00832
19.73604	0.01074
