Black Body Radiation Experiment Mon, Nov 25, 2024 4:31 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01647
0.00000	-0.01051
0.00000	-0.01067
0.00000	-0.00987
0.00000	-0.01003
0.00000	-0.01228
0.00000	-0.00729
0.00000	-0.00826
0.00000	-0.01228
0.00000	-0.01051
0.00000	-0.01389
0.00000	-0.01019
0.00000	-0.00858
0.00000	-0.01067
0.00000	-0.01164
0.01015	-0.00890
0.01015	-0.01003
0.01015	-0.01276
0.01015	-0.01518
0.01015	-0.01099
0.01015	-0.00826
0.01015	-0.00954
0.01015	-0.01308
0.02030	-0.00890
0.02030	-0.00987
0.02030	-0.01276
0.03046	-0.00761
0.04061	-0.01051
0.06091	-0.01405
0.08122	-0.01083
0.12183	-0.00745
0.18274	-0.01308
0.26396	-0.01148
0.67005	-0.01067
1.03553	-0.01228
1.18782	-0.00745
1.66497	-0.01019
2.06091	-0.00922
2.22335	-0.00970
2.62944	-0.01131
2.95431	-0.00906
3.04569	-0.01067
3.39086	-0.01148
3.57360	-0.00938
3.62437	-0.01196
3.75635	-0.01405
3.77665	-0.00777
3.77665	-0.01067
3.76650	-0.01228
3.76650	-0.00874
3.76650	-0.01019
3.76650	-0.00810
3.78680	-0.00810
3.79695	-0.00842
3.80711	-0.00777
3.82741	-0.01035
3.88832	-0.01196
3.96954	-0.00970
4.02030	-0.01035
4.13198	-0.00954
4.21320	-0.00987
4.24365	-0.01244
4.32487	-0.00954
4.38579	-0.01131
4.40609	-0.01051
4.48731	-0.01148
4.53807	-0.01051
4.55838	-0.01164
4.63959	-0.00987
4.72081	-0.01131
4.76142	-0.01164
4.96447	-0.00970
5.10660	-0.01003
5.15736	-0.01292
5.39086	-0.01164
5.60406	-0.01421
5.68528	-0.01099
5.97970	-0.00906
6.15228	-0.01067
6.23350	-0.01131
6.46701	-0.01341
6.61929	-0.01212
6.69036	-0.01115
6.94416	-0.00987
7.10660	-0.00777
7.18782	-0.00922
7.42132	-0.00970
7.54315	-0.00922
7.59391	-0.00922
7.70558	-0.01115
7.72589	-0.01067
7.75635	-0.01131
7.85787	-0.01051
7.89848	-0.01180
7.92893	-0.01325
8.00000	-0.00697
8.02030	-0.01196
8.04061	-0.00858
8.12183	-0.01051
8.17259	-0.00906
8.21320	-0.01453
8.35533	-0.00890
8.46701	-0.01148
8.50761	-0.00810
8.69036	-0.01389
8.84264	-0.01325
8.92386	-0.00713
9.13706	-0.00890
9.31980	-0.01453
9.40102	-0.01019
9.62437	-0.00987
9.77665	-0.00810
9.86802	-0.01357
10.07107	-0.01292
10.23350	-0.01469
10.30457	-0.01260
10.43655	-0.01260
10.52792	-0.00970
10.54822	-0.00793
10.59898	-0.01308
10.60914	-0.01196
10.61929	-0.01115
10.62944	-0.00793
10.63959	-0.00922
10.63959	-0.01083
10.63959	-0.01099
10.63959	-0.01115
10.63959	-0.00713
10.63959	-0.00826
10.63959	-0.01115
10.64975	-0.00777
10.69036	-0.01019
10.71066	-0.00874
10.72081	-0.00987
10.80203	-0.01099
10.92386	-0.00842
10.96447	-0.00922
11.11675	-0.00890
11.26904	-0.01051
11.31980	-0.01131
11.49239	-0.00890
11.64467	-0.01292
11.68528	-0.01067
11.86802	-0.01003
11.98985	-0.01325
12.04061	-0.01099
12.20305	-0.01292
12.32487	-0.00874
12.37563	-0.00874
12.56853	-0.01292
12.65990	-0.01115
12.70051	-0.01003
12.87310	-0.01389
13.00508	-0.01180
13.04569	-0.00938
13.22843	-0.00842
13.37056	-0.00954
13.45178	-0.00922
13.66497	-0.01228
13.84772	-0.01212
13.89848	-0.00890
14.10152	-0.00536
14.26396	-0.01067
14.33503	-0.00970
14.53807	-0.01196
14.62944	-0.00987
14.65990	-0.01067
14.74112	-0.01308
14.79188	-0.01164
14.81218	-0.00810
14.88325	-0.00970
14.94416	-0.01164
14.97462	-0.00858
15.03553	-0.00681
15.07614	-0.01099
15.10660	-0.00922
15.17766	-0.00761
15.22843	-0.00890
15.27919	-0.00922
15.46193	-0.01051
15.55330	-0.00890
15.59391	-0.00745
15.69543	-0.01003
15.77665	-0.00600
15.79695	-0.01405
15.81726	-0.01019
15.84772	-0.00890
15.86802	-0.00922
15.89848	-0.00922
15.90863	-0.00713
15.93909	-0.00906
16.01015	-0.00890
16.01015	-0.00697
16.01015	-0.00777
16.02030	-0.01180
16.02030	-0.00713
16.02030	-0.00649
16.02030	-0.00713
16.02030	-0.00472
16.02030	-0.01148
16.03046	-0.00858
16.04061	-0.00874
16.14213	-0.01019
16.22335	-0.00681
16.27411	-0.01067
16.39594	-0.01244
16.48731	-0.01244
16.53807	-0.00777
16.69036	-0.00681
16.77157	-0.00472
16.82234	-0.00697
16.92386	-0.00745
16.98477	-0.00874
17.01523	-0.00665
17.14721	-0.00745
17.19797	-0.00391
17.22843	-0.00906
17.42132	-0.00713
17.47208	-0.00520
17.50254	-0.00713
17.61421	-0.00777
17.65482	-0.00858
17.68528	-0.00665
17.79695	-0.00504
17.85787	-0.00472
17.86802	-0.00600
17.91878	-0.00294
17.96954	-0.00922
17.97970	-0.00327
18.03046	-0.00375
18.06091	-0.00262
18.08122	-0.00343
18.15228	-0.00166
18.21320	-0.00488
18.25381	-0.00407
18.49746	-0.00198
18.63959	-0.00407
18.72081	-0.00182
18.90355	0.00140
19.04569	0.00140
19.12690	0.00221
19.37056	0.00655
19.49239	0.01009
19.57360	0.01106
19.66497	0.01444
19.69543	0.02120
19.70558	0.02329
19.70558	0.02506
19.70558	0.02893
19.72589	0.03005
19.76650	0.02426
19.80711	0.02796
19.85787	0.03086
19.89848	0.03214
19.92893	0.03408
19.94924	0.03907
20.09137	0.04068
20.14213	0.04518
20.17259	0.04663
20.24365	0.05613
20.27411	0.05774
20.29442	0.05983
20.36548	0.06546
20.40609	0.06772
20.42640	0.06836
20.52792	0.08075
20.57868	0.08317
20.59898	0.08446
20.61929	0.09669
20.61929	0.09943
20.61929	0.10168
20.62944	0.10844
20.62944	0.10506
20.62944	0.10699
20.69036	0.11278
20.71066	0.11552
20.74112	0.11922
20.76142	0.11922
20.86294	0.13001
20.91371	0.13194
20.94416	0.13870
21.05584	0.15190
21.11675	0.16461
21.17766	0.17041
21.27919	0.19117
21.34010	0.20019
21.40102	0.21692
21.51269	0.23576
21.57360	0.24670
21.62437	0.25877
21.72589	0.28421
21.78680	0.29048
21.82741	0.29901
21.93909	0.31929
22.02030	0.32847
22.05076	0.33620
22.20305	0.35905
22.28426	0.36774
22.36548	0.37064
22.46701	0.38239
22.51777	0.38802
22.55838	0.38609
22.59898	0.38706
22.61929	0.38658
22.63959	0.39076
22.67005	0.39350
22.71066	0.38963
22.75127	0.38915
22.78173	0.38641
22.80203	0.38561
22.81218	0.38513
22.87310	0.38046
22.90355	0.37885
22.92386	0.37627
22.99492	0.37144
23.06599	0.36565
23.09645	0.35969
23.23858	0.34682
23.34010	0.33925
23.37056	0.33394
23.51269	0.30674
23.60406	0.29612
23.63452	0.28598
23.75635	0.26022
23.85787	0.24380
23.89848	0.23608
24.06091	0.20791
24.19289	0.18763
24.25381	0.17765
24.37563	0.15093
24.42640	0.13387
24.43655	0.12276
24.47716	0.10892
24.47716	0.10152
24.47716	0.09685
24.49746	0.09057
24.51777	0.08285
24.53807	0.08236
24.54822	0.07689
24.58883	0.07222
24.61929	0.07077
24.63959	0.06305
24.70051	0.06080
24.77157	0.05806
24.81218	0.05307
24.95431	0.04727
25.03553	0.03552
25.06599	0.03697
25.18782	0.02860
25.25888	0.02506
25.28934	0.01911
25.38071	0.01412
25.46193	0.01074
25.49239	0.00832
25.58376	0.01025
25.67513	0.00687
25.72589	0.00462
25.85787	-0.00053
25.93909	0.00011
25.97970	-0.00037
26.11168	-0.00327
26.19289	-0.00423
26.23350	-0.00246
26.35533	-0.00777
26.43655	-0.00375
26.46701	-0.00343
26.58883	-0.00810
26.65990	-0.01051
26.67005	-0.00745
26.74112	-0.00649
26.80203	-0.00826
26.82234	-0.01035
26.87310	-0.00922
26.94416	-0.00713
26.97462	-0.00729
27.04569	-0.00713
27.10660	-0.00745
27.14721	-0.00745
27.25888	-0.01131
27.31980	-0.00729
27.36041	-0.00890
27.50254	-0.01019
27.61421	-0.01164
27.67513	-0.00713
27.81726	-0.00536
27.88832	-0.01228
27.91878	-0.00745
28.03046	-0.00906
28.11168	-0.00938
28.15228	-0.00761
28.26396	-0.00681
28.35533	-0.01003
28.41624	-0.00665
28.58883	-0.00520
28.71066	-0.00536
28.77157	-0.00874
28.97462	-0.00777
29.13706	-0.00568
29.20812	-0.00922
29.43147	-0.00987
29.55330	-0.00761
29.61421	-0.01035
29.77665	-0.01067
29.87817	-0.00777
29.90863	-0.00649
30.02030	-0.01067
30.09137	-0.00745
30.12183	-0.01164
30.21320	-0.00987
30.30457	-0.01003
30.34518	-0.01196
30.41624	-0.00713
30.47716	-0.00600
30.50761	-0.00826
30.57868	-0.00874
30.62944	-0.01148
30.67005	-0.01067
30.79188	-0.00987
30.88325	-0.00874
30.93401	-0.00890
31.08629	-0.01035
31.18782	-0.01260
31.23858	-0.00793
31.37056	-0.00906
31.47208	-0.00922
31.52284	-0.00697
31.63452	-0.01083
31.70558	-0.01099
31.72589	-0.00858
31.80711	-0.00938
31.85787	-0.00954
31.87817	-0.01550
31.96954	-0.01067
32.04061	-0.00954
32.07107	-0.00890
32.16244	-0.00616
32.23350	-0.01228
32.27411	-0.00922
32.35533	-0.01003
32.41624	-0.00987
32.44670	-0.01260
32.53807	-0.00874
32.60914	-0.01115
32.62944	-0.00665
32.72081	-0.00810
32.76142	-0.00665
32.78173	-0.01067
32.83249	-0.00842
32.86294	-0.00970
32.88325	-0.00970
32.93401	-0.00713
32.98477	-0.01099
33.01523	-0.01003
33.14721	-0.00954
33.23858	-0.00713
33.29949	-0.00761
33.45178	-0.00777
33.55330	-0.00938
33.60406	-0.00826
33.76650	-0.01308
33.86802	-0.00665
33.91878	-0.01276
34.03046	-0.00761
34.08122	-0.00793
34.11168	-0.01051
34.17259	-0.00826
34.20305	-0.00713
34.21320	-0.01067
34.23350	-0.01437
34.26396	-0.00970
34.29442	-0.00826
34.35533	-0.01244
34.41624	-0.00536
34.46701	-0.00954
34.63959	-0.01341
34.76142	-0.01131
34.84264	-0.00874
35.03553	-0.00713
35.08629	-0.01212
35.09645	-0.00970
35.15736	-0.00616
35.21827	-0.00713
35.25888	-0.00858
35.43147	-0.01035
35.55330	-0.01308
35.63452	-0.01003
35.84772	-0.01099
35.98985	-0.01067
36.06091	-0.01035
36.21320	-0.01421
36.31472	-0.00488
36.36548	-0.01196
36.53807	-0.01180
36.69036	-0.00858
36.79188	-0.01308
37.01523	-0.01003
37.16751	-0.00423
37.23858	-0.01083
37.44162	-0.01067
37.58376	-0.00842
37.63452	-0.01099
37.78680	-0.00874
37.87817	-0.01244
37.91878	-0.00970
38.01015	-0.00906
38.07107	-0.00890
38.10152	-0.00906
38.21320	-0.01035
38.29442	-0.00729
38.33503	-0.00665
38.45685	-0.00616
38.52792	-0.01067
38.55838	-0.00616
38.65990	-0.00729
38.76142	-0.00729
38.81218	-0.01148
38.97462	-0.00987
39.04569	-0.00938
39.08629	-0.00938
39.14721	-0.01003
39.17766	-0.00632
39.20812	-0.00826
39.26904	-0.00761
39.34010	-0.01083
39.38071	-0.00858
39.49239	-0.01003
39.58376	-0.00842
39.63452	-0.00616
39.76650	-0.00842
39.85787	-0.00954
39.88832	-0.00793
40.04061	-0.00890
40.18274	-0.00858
40.23350	-0.01115
40.42640	-0.00697
40.55838	-0.00649
40.60914	-0.00922
40.77157	-0.00874
40.86294	-0.00729
40.90355	-0.00761
41.01523	-0.00874
41.11675	-0.00826
41.15736	-0.01276
41.29949	-0.01003
41.42132	-0.01083
41.47208	-0.00906
41.66497	-0.01003
41.79695	-0.01212
41.85787	-0.00810
42.02030	-0.01212
42.13198	-0.00810
42.18274	-0.00729
42.30457	-0.00568
42.42640	-0.00793
42.47716	-0.00568
42.62944	-0.00649
42.75127	-0.00922
42.81218	-0.00890
42.96447	-0.00761
43.09645	-0.00777
43.15736	-0.00842
43.34010	-0.00616
43.46193	-0.00938
43.49239	-0.01035
43.65482	-0.00922
43.75635	-0.01099
43.81726	-0.00632
43.98985	-0.00665
44.14213	-0.01180
44.20305	-0.00954
44.38579	-0.01035
44.49746	-0.01003
44.55838	-0.01099
44.71066	-0.01534
44.78173	-0.00874
44.82234	-0.00890
44.97462	-0.01083
45.04569	-0.01196
45.08629	-0.01067
45.23858	-0.00681
45.35025	-0.00874
45.39086	-0.00954
45.52284	-0.00665
45.66497	-0.00890
45.72589	-0.00713
45.96954	-0.00826
46.15228	-0.00858
46.23350	-0.01003
46.46701	-0.01019
46.61929	-0.00632
46.67005	-0.01276
46.83249	-0.00890
46.93401	-0.00745
46.97462	-0.00858
47.09645	-0.00874
47.17766	-0.01131
47.20812	-0.00954
47.31980	-0.00632
47.40102	-0.00665
47.44162	-0.00987
47.56345	-0.00874
47.66497	-0.00954
47.69543	-0.01148
47.80711	-0.01389
47.89848	-0.00761
47.92893	-0.00713
48.09137	-0.01115
48.21320	-0.00890
48.25381	-0.01083
48.42640	-0.00890
48.56853	-0.01099
48.62944	-0.01067
48.83249	-0.00906
48.96447	-0.00954
49.02538	-0.00697
49.22843	-0.00858
49.39086	-0.00890
49.47208	-0.01019
49.73604	-0.00874
49.92893	-0.01196
50.03046	-0.00729
50.28426	-0.00922
50.46701	-0.01180
50.54822	-0.01292
50.81218	-0.00922
51.01523	-0.00858
51.07614	-0.01051
51.31980	-0.01083
51.48223	-0.01067
51.55330	-0.01067
51.76650	-0.01115
51.86802	-0.00665
51.92893	-0.01212
52.11168	-0.00858
52.22335	-0.00906
52.28426	-0.00761
52.48731	-0.01003
52.64975	-0.00504
52.72081	-0.00842
52.91371	-0.01083
53.04569	-0.01276
53.10660	-0.00713
53.26904	-0.00938
53.38071	-0.00922
53.43147	-0.00584
53.58376	-0.00793
53.70558	-0.00777
53.76650	-0.00777
53.93909	-0.00987
54.02030	-0.01212
54.08122	-0.00777
54.26396	-0.01019
54.38579	-0.00906
54.43655	-0.01035
54.61929	-0.00826
54.75127	-0.00970
54.81218	-0.00665
54.97462	-0.00922
55.09645	-0.00810
55.14721	-0.00745
55.28934	-0.01067
55.40102	-0.00810
55.44162	-0.00697
55.57360	-0.00649
55.66497	-0.00777
55.70558	-0.00761
55.84772	-0.01003
55.93909	-0.00793
55.97970	-0.00681
56.14213	-0.00568
56.24365	-0.00681
56.29442	-0.00826
56.45685	-0.01083
56.56853	-0.01228
56.60914	-0.00874
56.76142	-0.01164
56.87310	-0.00793
56.91371	-0.00826
57.06599	-0.00793
57.18782	-0.01035
57.22843	-0.00536
57.38071	-0.00938
57.50254	-0.00842
57.55330	-0.01035
57.71574	-0.00713
57.80711	-0.00970
57.85787	-0.01051
57.97970	-0.00793
58.09137	-0.00826
58.14213	-0.00777
58.31472	-0.00987
58.41624	-0.01276
58.46701	-0.01019
58.64975	-0.01212
58.75127	-0.00874
58.79188	-0.00632
58.92386	-0.00745
59.01523	-0.01164
59.06599	-0.00826
59.22843	-0.00842
59.35025	-0.01035
59.39086	-0.01148
59.54315	-0.00938
59.64467	-0.00761
59.68528	-0.00970
59.81726	-0.00906
59.91878	-0.00938
59.97970	-0.00777
60.14213	-0.00665
60.28426	-0.00777
60.35533	-0.01131
60.48731	-0.00761
60.60914	-0.00713
60.68020	-0.00697
60.88325	-0.00665
61.00508	-0.00826
61.06599	-0.00632
61.25888	-0.00568
