Black Body Radiation Experiment Fri, Nov 29, 2024 1:50 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03224
0.00000	-0.03658
0.00000	-0.03626
0.00000	-0.03723
0.00000	-0.03868
0.00000	-0.03707
0.01015	-0.03562
0.01015	-0.03449
0.01015	-0.03401
0.01015	-0.03240
0.01015	-0.03256
0.01015	-0.03675
0.01015	-0.03465
0.01015	-0.03884
0.01015	-0.03819
0.01015	-0.03771
0.01015	-0.03240
0.01015	-0.03337
0.01015	-0.03642
0.01015	-0.03658
0.01015	-0.03465
0.01015	-0.03546
0.01015	-0.03755
0.01015	-0.03787
0.01015	-0.03498
0.01015	-0.03836
0.01015	-0.03224
0.01015	-0.03675
0.01015	-0.03755
0.01015	-0.03562
0.01015	-0.03562
0.01015	-0.03642
0.01015	-0.02999
0.01015	-0.03224
0.01015	-0.03498
0.01015	-0.03031
0.01015	-0.03514
0.01015	-0.03594
0.01015	-0.03369
0.01015	-0.03304
0.01015	-0.03127
0.01015	-0.03353
0.02030	-0.03353
0.04061	-0.03642
0.06091	-0.03224
0.07107	-0.03562
0.18274	-0.03594
0.38579	-0.03707
0.52792	-0.03240
0.93401	-0.03304
1.14721	-0.03337
1.22843	-0.03015
1.36041	-0.03160
1.43147	-0.03047
1.46193	-0.03320
1.60406	-0.03031
1.77665	-0.03449
1.87817	-0.03610
2.23350	-0.03433
2.50761	-0.03095
2.63959	-0.03192
2.97462	-0.03047
3.22843	-0.02644
3.37056	-0.03143
3.97970	-0.03063
4.33503	-0.02918
4.54822	-0.03079
5.02538	-0.03610
5.40102	-0.03337
5.55330	-0.03256
5.95939	-0.03256
6.20305	-0.02982
6.28426	-0.02982
6.49746	-0.02982
6.58883	-0.02886
6.64975	-0.02950
6.79188	-0.03176
6.92386	-0.02757
6.99492	-0.03031
7.29949	-0.02500
7.51269	-0.02435
7.62437	-0.02516
8.12183	-0.02451
8.37563	-0.03047
8.51777	-0.02274
8.80203	-0.02902
8.99492	-0.03176
9.18782	-0.02628
9.51269	-0.02548
9.75635	-0.03079
9.87817	-0.02902
10.25381	-0.02355
10.51777	-0.02773
10.64975	-0.02612
10.94416	-0.02870
11.13706	-0.03111
11.21827	-0.02644
11.45178	-0.02274
11.62437	-0.02387
11.69543	-0.01952
11.89848	-0.02145
12.05076	-0.02242
12.27411	-0.02129
12.64975	-0.02049
12.98477	-0.01920
13.13706	-0.02194
13.81726	-0.01743
14.22335	-0.01840
14.39594	-0.01469
14.99492	-0.00681
15.37056	-0.00488
15.65482	0.00639
16.17259	0.02217
16.37563	0.02812
16.53807	0.03086
16.78173	0.05420
16.89340	0.06208
16.99492	0.07142
17.18782	0.08961
