Black Body Radiation Experiment Fri, Nov 29, 2024 1:42 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.05397
0.00000	-0.05429
0.00000	-0.05622
0.00000	-0.05300
0.00000	-0.05349
0.00000	-0.05365
0.00000	-0.05413
0.00000	-0.04946
0.00000	-0.04962
0.00000	-0.05284
0.00000	-0.04978
0.00000	-0.05204
0.00000	-0.05477
0.00000	-0.05236
0.00000	-0.05493
0.00000	-0.04994
0.00000	-0.05719
0.00000	-0.05429
0.00000	-0.04785
0.00000	-0.04898
0.00000	-0.04850
0.00000	-0.04962
0.00000	-0.05236
0.00000	-0.05252
-0.01015	-0.05011
-0.01015	-0.05139
-0.01015	-0.05204
-0.01015	-0.05236
-0.01015	-0.05075
-0.01015	-0.04882
-0.01015	-0.05236
-0.01015	-0.04946
0.00000	-0.05059
0.01015	-0.05236
0.01015	-0.05139
0.01015	-0.05349
0.01015	-0.05059
0.02030	-0.04737
0.04061	-0.05011
0.05076	-0.04769
0.07107	-0.04592
0.12183	-0.04608
0.15228	-0.04689
0.19289	-0.05477
0.24365	-0.05043
0.26396	-0.04689
0.27411	-0.04801
0.28426	-0.04721
0.29442	-0.05284
0.29442	-0.04914
0.30457	-0.04157
0.31472	-0.04431
0.32487	-0.04560
0.32487	-0.05059
0.32487	-0.04882
0.35533	-0.04801
0.37563	-0.05381
0.41624	-0.05059
0.44670	-0.05349
0.49746	-0.04141
0.53807	-0.04833
0.54822	-0.04512
0.59898	-0.04705
0.63959	-0.04753
0.67005	-0.04882
0.75127	-0.04673
0.80203	-0.05268
0.81218	-0.04624
0.86294	-0.04608
0.90355	-0.04753
0.93401	-0.04351
1.05584	-0.04560
1.13706	-0.04157
1.16751	-0.04817
1.25888	-0.04560
1.32995	-0.04737
1.36041	-0.04479
1.43147	-0.04608
1.49239	-0.04335
1.53299	-0.04512
1.71574	-0.04866
1.88832	-0.04463
1.95939	-0.04882
2.18274	-0.04994
2.27411	-0.04962
2.32487	-0.04721
2.40609	-0.04351
2.49746	-0.04447
2.52792	-0.04592
2.67005	-0.04624
2.76142	-0.04528
2.81218	-0.04222
2.96447	-0.04029
3.07614	-0.04528
3.13706	-0.04753
3.36041	-0.04528
3.49239	-0.04721
3.55330	-0.04866
3.80711	-0.04125
4.07107	-0.04640
4.22335	-0.04431
4.57868	-0.04624
4.81218	-0.04238
4.89340	-0.04141
5.15736	-0.04270
5.32995	-0.04608
5.39086	-0.04351
5.63452	-0.04157
5.81726	-0.04093
5.87817	-0.04608
6.09137	-0.04560
6.22335	-0.04383
6.28426	-0.04077
6.47716	-0.04769
6.61929	-0.03964
6.69036	-0.04302
6.97462	-0.04029
7.14721	-0.04125
7.23858	-0.04367
7.53299	-0.04206
7.76650	-0.03948
7.89848	-0.04109
8.47716	-0.04013
8.76142	-0.03964
8.90355	-0.04222
9.24873	-0.03675
9.42132	-0.04302
9.51269	-0.04013
9.74619	-0.04061
9.88832	-0.03578
10.14213	-0.04608
10.29442	-0.04190
10.43655	-0.04174
10.65990	-0.03787
10.79188	-0.03948
10.98477	-0.04157
11.13706	-0.04061
11.37056	-0.03948
11.53299	-0.03916
11.76650	-0.03626
11.91878	-0.03433
12.16244	-0.04061
12.33503	-0.03626
12.47716	-0.03578
12.68020	-0.03530
12.80203	-0.03337
12.86294	-0.04222
13.04569	-0.03980
13.13706	-0.03498
13.17766	-0.04286
13.30964	-0.03449
13.42132	-0.03916
13.47208	-0.03594
13.64467	-0.03449
13.77665	-0.03498
13.83756	-0.03916
14.07107	-0.02982
14.25381	-0.03353
14.33503	-0.03385
14.78173	-0.02854
15.07614	-0.03063
15.22843	-0.02789
15.81726	-0.02612
16.14213	-0.02628
16.40609	-0.02113
16.88325	-0.00777
17.16751	0.00172
17.40102	0.01267
17.76650	0.03858
17.91878	0.05597
18.04061	0.07158
18.27411	0.09991
18.42640	0.12164
18.57868	0.14192
18.94416	0.22208
19.10660	0.27407
19.26904	0.33056
19.59391	0.50102
19.76650	0.61691
19.90863	0.74600
20.13198	0.98566
20.25381	1.13230
20.34518	1.27410
20.53807	1.60036
20.63959	1.78015
20.77157	2.00711
21.01523	2.45442
21.13706	2.65787
21.23858	2.87501
21.50254	3.31975
21.65482	3.51950
21.83756	3.69640
22.13198	3.96908
22.25381	4.04570
22.35533	4.08513
22.57868	4.04570
22.73096	3.96715
22.80203	3.91226
22.99492	3.67982
23.14721	3.47234
23.19797	3.37158
23.44162	2.96386
23.63452	2.67429
23.71574	2.53361
23.98985	2.05459
24.17259	1.75891
24.24365	1.64141
24.49746	1.24481
24.70051	1.02976
24.80203	0.93834
25.13706	0.68451
25.40102	0.52387
25.50254	0.46609
25.79695	0.33024
25.98985	0.24541
26.07107	0.21177
26.36548	0.14015
26.61929	0.10232
26.72081	0.09089
27.03553	0.05243
27.21827	0.03295
27.56345	0.01975
27.79695	0.00494
27.90863	0.00768
28.26396	-0.00874
28.48731	-0.00874
28.58883	-0.01244
29.00508	-0.01904
29.24873	-0.01550
29.37056	-0.02210
29.68528	-0.02065
29.92893	-0.02097
30.04061	-0.02435
30.35533	-0.02693
30.55838	-0.02564
30.64975	-0.02757
30.97462	-0.03095
31.17766	-0.02532
31.27919	-0.02483
31.57360	-0.03015
31.74619	-0.03208
31.81726	-0.02966
32.07107	-0.02805
32.35533	-0.02773
32.49746	-0.03288
32.86294	-0.03031
33.08629	-0.02886
33.18782	-0.03063
33.53299	-0.02789
33.76650	-0.02822
33.86802	-0.02999
34.19289	-0.02886
34.44670	-0.03143
34.57868	-0.03192
34.94416	-0.02870
35.18782	-0.03288
35.32995	-0.03031
35.68528	-0.03675
35.94924	-0.02773
36.39594	-0.03063
36.69036	-0.03047
37.08629	-0.02918
37.31980	-0.03224
37.43147	-0.03288
37.77665	-0.03546
38.03046	-0.03143
38.17259	-0.03514
38.51777	-0.02918
38.73096	-0.03401
38.84264	-0.02773
39.20812	-0.03111
39.48223	-0.03224
39.60406	-0.03031
39.94924	-0.03192
40.11168	-0.03256
40.19289	-0.03127
40.41624	-0.02870
40.57868	-0.03369
40.65990	-0.03401
40.89340	-0.03401
41.07614	-0.03288
41.15736	-0.03642
41.42132	-0.03079
41.62437	-0.02999
41.69543	-0.03449
41.94924	-0.03079
42.12183	-0.03304
42.21320	-0.03208
42.47716	-0.03224
42.64975	-0.03160
42.72081	-0.03514
42.98477	-0.03610
43.21827	-0.03481
43.32995	-0.03369
43.68528	-0.03353
43.95939	-0.03465
44.06091	-0.03192
44.44670	-0.03320
44.73096	-0.03787
44.83249	-0.03208
45.07614	-0.03192
45.22843	-0.02854
45.27919	-0.03691
45.43147	-0.03530
45.57360	-0.03320
45.65482	-0.03546
46.00000	-0.03594
46.21320	-0.03208
46.30457	-0.03288
46.63959	-0.03417
46.90355	-0.03658
47.00508	-0.03176
47.39086	-0.03530
47.70558	-0.03111
47.83756	-0.03739
48.30457	-0.03530
48.64975	-0.03546
48.81218	-0.03047
49.30964	-0.03192
49.71574	-0.03642
49.85787	-0.03288
50.37563	-0.03433
50.72081	-0.02870
50.87310	-0.03884
51.37056	-0.03192
51.71574	-0.03498
51.83756	-0.03353
52.25381	-0.03288
52.53807	-0.03127
52.63959	-0.03337
52.97462	-0.03433
53.24873	-0.03369
53.38071	-0.03626
53.82741	-0.03481
54.13198	-0.03160
54.25381	-0.03530
54.63959	-0.03401
54.91371	-0.03514
55.04569	-0.03256
55.39086	-0.03337
55.61421	-0.03015
55.70558	-0.02934
55.98985	-0.03449
56.16244	-0.03079
56.24365	-0.03369
56.49746	-0.03819
56.64975	-0.03433
56.72081	-0.03160
56.94416	-0.03852
57.12690	-0.03433
57.19797	-0.03240
57.41117	-0.03916
57.53299	-0.03369
57.59391	-0.03127
57.78680	-0.03304
57.91878	-0.03980
