Black Body Radiation Experiment Fri, Nov 29, 2024 1:43 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01968
0.00000	-0.02129
0.00000	-0.02500
0.00000	-0.02483
0.00000	-0.02403
0.00000	-0.02516
0.00000	-0.02065
0.00000	-0.02661
0.00000	-0.02274
0.00000	-0.01920
0.00000	-0.02113
-0.01015	-0.02097
-0.01015	-0.02242
-0.01015	-0.02081
-0.02030	-0.02113
-0.02030	-0.02548
-0.02030	-0.02162
-0.02030	-0.01968
-0.02030	-0.01936
-0.02030	-0.02387
-0.02030	-0.02323
-0.01015	-0.02017
-0.01015	-0.02451
-0.01015	-0.02516
0.00000	-0.02306
0.00000	-0.02339
0.00000	-0.02419
0.00000	-0.01791
0.01015	-0.02258
0.12183	-0.02467
0.20305	-0.02001
0.52792	-0.02226
0.69036	-0.02097
0.73096	-0.02242
0.80203	-0.02339
0.81218	-0.02451
0.81218	-0.02162
0.89340	-0.01872
1.04569	-0.02435
1.24873	-0.02403
1.37056	-0.02371
1.63452	-0.02017
1.79695	-0.02033
1.86802	-0.02580
2.13198	-0.02145
2.28426	-0.01824
2.36548	-0.02178
2.54822	-0.02500
2.72081	-0.02097
2.77157	-0.02033
2.91371	-0.01807
3.00508	-0.01936
3.06599	-0.01727
3.32995	-0.02097
3.54315	-0.02145
3.74619	-0.02483
4.10152	-0.02001
4.30457	-0.02081
4.39594	-0.01952
4.55838	-0.02693
4.68020	-0.01872
4.73096	-0.02516
5.05584	-0.01647
5.24873	-0.01824
5.31980	-0.02178
5.62437	-0.02612
5.75635	-0.02097
5.82741	-0.02355
6.00000	-0.01775
6.13198	-0.02162
6.20305	-0.02371
6.36548	-0.02049
6.43655	-0.01824
6.45685	-0.01856
6.55838	-0.02532
6.63959	-0.02065
6.71066	-0.01534
6.95431	-0.01711
7.17766	-0.02097
7.44162	-0.02113
7.89848	-0.02226
8.19289	-0.01936
8.33503	-0.02387
8.62944	-0.02306
8.79188	-0.01872
8.88325	-0.01775
9.16751	-0.02033
9.37056	-0.02145
9.48223	-0.02145
9.83756	-0.01807
10.02030	-0.01663
10.15228	-0.02274
10.42640	-0.02097
10.63959	-0.02097
10.74112	-0.01405
10.99492	-0.01550
11.17766	-0.01888
11.31980	-0.01292
11.54315	-0.02033
11.72589	-0.01727
12.01015	-0.01888
12.23350	-0.01614
12.58883	-0.01486
12.79188	-0.01389
12.87310	-0.01437
13.13706	-0.01292
13.30964	-0.01453
13.40102	-0.01952
13.65482	-0.01373
13.86802	-0.01148
13.95939	-0.01469
14.46701	-0.01019
14.77157	-0.01244
14.91371	-0.01276
15.37056	-0.01260
15.52284	-0.00600
15.59391	-0.01115
15.84772	-0.00938
15.98985	-0.00858
16.24365	-0.00810
16.42640	-0.00729
16.72081	-0.00133
16.94416	0.00365
17.39086	0.01074
17.59391	0.01605
17.92893	0.02522
18.08122	0.03520
18.25381	0.03842
18.63959	0.06353
18.87310	0.08349
19.11675	0.11777
19.57360	0.19021
19.85787	0.27407
20.11168	0.38416
20.50761	0.64668
20.71066	0.82985
20.91371	1.05375
21.28934	1.51827
21.45178	1.70241
21.58376	1.88333
21.90863	2.20364
22.12183	2.30022
22.32487	2.35559
22.74112	2.28863
22.97462	2.17660
23.07614	2.11205
23.40102	1.86627
23.64467	1.66105
23.77665	1.55658
24.13198	1.24722
24.40609	1.05793
24.83249	0.77577
25.13706	0.63075
25.64467	0.43535
25.98985	0.34199
26.16244	0.29612
26.55838	0.23254
27.16751	0.15705
27.53299	0.12196
27.74619	0.10957
28.26396	0.07770
28.59898	0.05484
28.78173	0.04985
29.25888	0.03021
29.56345	0.02056
29.70558	0.01734
30.08122	0.00349
30.36548	0.00575
30.51777	-0.00182
30.95431	-0.00166
31.23858	-0.00262
31.42132	-0.00343
31.93909	-0.00697
32.29442	-0.00472
32.53807	-0.00713
33.19797	-0.00793
33.59391	-0.01212
33.80711	-0.00842
34.38579	-0.00777
34.73096	-0.01276
34.92386	-0.00810
35.46193	-0.01325
35.76650	-0.01598
35.94924	-0.01131
36.44670	-0.01598
36.79188	-0.00970
36.98477	-0.01824
37.52284	-0.01743
37.88832	-0.01067
38.08122	-0.01357
38.60914	-0.00987
38.97462	-0.01051
39.17766	-0.01019
39.77665	-0.01502
40.15228	-0.01598
40.36548	-0.01260
40.75127	-0.01453
41.02538	-0.01035
41.15736	-0.01695
41.52284	-0.01502
41.77665	-0.01437
42.13198	-0.01486
42.36548	-0.01325
42.46701	-0.01566
42.75127	-0.01276
42.99492	-0.00874
43.10660	-0.01807
43.47208	-0.01582
43.72589	-0.01550
43.84772	-0.01341
44.19289	-0.01566
44.41624	-0.01019
44.54822	-0.01260
44.88325	-0.01534
45.12690	-0.01003
45.22843	-0.01518
45.59391	-0.01582
45.81726	-0.01647
45.94924	-0.01148
46.36548	-0.01775
46.62944	-0.01518
46.75127	-0.01663
47.18782	-0.01695
47.47208	-0.01308
47.59391	-0.01791
47.95939	-0.01276
48.21320	-0.01357
48.31472	-0.01936
48.75127	-0.01727
49.00508	-0.01791
49.14721	-0.01405
49.59391	-0.01003
49.93909	-0.01357
50.11168	-0.01904
50.50761	-0.01292
50.81218	-0.01727
50.95431	-0.01019
51.36041	-0.01357
51.66497	-0.01292
51.80711	-0.01486
52.25381	-0.01534
52.51777	-0.01679
52.68020	-0.01244
53.07614	-0.01421
53.37056	-0.01244
53.51269	-0.01212
53.91878	-0.01502
54.27411	-0.01775
54.44670	-0.01148
54.97462	-0.01759
55.39086	-0.01550
55.58376	-0.01968
56.13198	-0.01341
56.43655	-0.01341
56.58883	-0.01148
57.00508	-0.01534
57.26904	-0.01663
57.40102	-0.01663
57.69543	-0.01518
57.83756	-0.00842
57.93909	-0.01598
58.21320	-0.01550
58.39594	-0.00777
58.67005	-0.01518
58.87310	-0.01437
58.96447	-0.01389
59.22843	-0.01325
59.41117	-0.01695
59.49239	-0.01469
59.75635	-0.01695
59.94924	-0.01759
60.05076	-0.01389
60.34518	-0.01550
60.60914	-0.01212
60.72081	-0.01148
61.08629	-0.01244
61.30964	-0.01099
61.45178	-0.01405
61.80711	-0.01196
62.04061	-0.01308
62.14213	-0.01518
62.48731	-0.01373
62.70051	-0.01115
62.79188	-0.01357
63.07614	-0.01711
63.32995	-0.01598
63.52284	-0.01727
63.93909	-0.02017
64.24365	-0.01437
64.38579	-0.00842
64.82234	-0.00922
65.07614	-0.01325
65.20812	-0.01373
65.70558	-0.01292
66.07107	-0.01437
66.60914	-0.01807
66.98477	-0.01148
67.19797	-0.01582
67.75635	-0.01325
68.13198	-0.01067
68.38579	-0.01840
69.04569	-0.00938
69.54315	-0.00906
69.83756	-0.01357
70.59898	-0.01099
71.05584	-0.00826
71.29949	-0.01099
71.97970	-0.00938
72.44670	-0.01840
72.65990	-0.01389
73.24873	-0.01099
73.59391	-0.01325
73.78680	-0.01148
74.30457	-0.01083
74.65990	-0.00874
74.85279	-0.00359
75.47208	-0.00761
75.89848	-0.00085
76.09137	0.02184
76.70051	0.15801
77.12690	0.22803
77.34010	0.26119
78.01015	0.27503
78.47716	0.22819
78.76142	0.19004
79.46193	0.11584
79.90863	0.07963
80.16244	0.06562
80.76142	0.04470
81.15736	0.03424
81.36041	0.03037
81.96954	0.01782
82.38579	0.01042
82.56853	0.00977
83.15736	0.00832
83.53299	0.00703
83.75635	0.00205
84.32487	-0.00069
84.64975	-0.00133
84.85279	-0.00085
85.31980	-0.00520
85.64467	-0.00520
85.81726	-0.00294
86.32487	-0.00182
86.62944	-0.00294
86.82234	-0.00729
87.20812	-0.00970
87.52284	-0.00552
87.68528	-0.00616
88.21320	-0.00439
88.54822	-0.00262
88.70051	-0.00536
89.19797	-0.00520
89.49239	-0.00214
89.67513	-0.00262
90.14213	-0.00761
